codice,nome,nota
# Tabella CURATA A MANO, corta di proposito — stessa filosofia di
# `soc_modelli.csv`: contiene solo righe per cui la scelta e' verificata,
# non "plausibile". Risolve un caso preciso che `nome_canonico()` (in
# `core/modelcodes.py`) non puo' risolvere da solo: un codice con PIU' nomi
# commerciali VERI, nessuno dei quali e' "sbagliato" — sono varianti
# regionali dello stesso hardware — e per cui l'algoritmo (il piu' corto,
# a parita' alfabetico) sceglie un nome tecnicamente corretto ma poco
# riconoscibile per chi fa QA in Italia/Europa.
#
# UNA RIGA QUI NON INVENTA NIENTE: `nome_canonico()` la applica SOLO se il
# nome scritto compare gia' fra quelli che `resolve()` restituisce per quel
# codice — cioe' solo per SCEGLIERE fra nomi gia' verificati dal dataset,
# mai per aggiungerne uno nuovo. Se il dataset smette di conoscere quel
# nome (aggiornamento a monte), la riga smette di avere effetto invece di
# imporre un nome ormai sbagliato.
#
# QUESTA TABELLA SOPRAVVIVE A UN RESET COMPLETO DEL REPOSITORY, a
# differenza della correzione manuale salvata da un utente (tabella
# `nomi_modello` di `tracker.db`, che vive sul disco effimero del servizio
# e va persa a ogni riavvio se non c'e' ancora stato un backup — vedi
# `_backup_subito` in `web/main.py`): questo file viaggia nel repository
# come il codice, quindi in ogni build su Render, per sempre.
#
# `nota`: da dove viene la verifica, per poterla ricontrollare o smentire.
CPH2781,OPPO A6 Pro,"Segnalato dall'utente: ""F31"" mostrato invece di ""A6 Pro"". Verificato (GSMArena CN/IN, oppo.com/en, DeviceAtlas, Gizmochina, GSMchoice, 2026-08-12): stesso hardware (Dimensity 6300, display 6.57"" 50MP+2MP, batteria 7000mAh) venduto come ""OPPO F31 5G"" in Cina e come ""OPPO A6 Pro 5G"" nei mercati Global/India/Medio Oriente — nessuno dei due e' ""sbagliato"". Scelto ""A6 Pro"" come nome di riferimento in un'app italiana perche' e' il nome del mercato Global/Europa; la variante cinese resta comunque visibile come ""gemello"" nel menu di correzione, per chi la riconosce con quel nome."

# Codici con identità commerciale confermata dal produttore/regolatore.
# L'override è applicato soltanto se il dataset upstream continua a conoscerlo.
RMX3939,realme C63,"Guida rapida realme per RMX3939; evita l'alias C61 condiviso dal dataset community."
RMX5313,realme Note 70T,"Variante europea/Polonia del codice RMX5313; il catalogo elenca anche Note 70/70s, NARZO 80 Lite e P4 Lite per altri mercati."
25128RN17Y,Redmi A7 Pro,"Documentazione Xiaomi UE e certificazione TDRA collegano questo codice a Redmi A7 Pro."
SM-A057F,Samsung Galaxy A05s,"Codice e modello confermati dal supporto e dai bollettini firmware Samsung."
RMX3997,realme 12x 5G,"Nome europeo: il catalogo elenca per questo codice anche C65 5G e NARZO N65, venduti in altri mercati. Chi prova il telefono in Europa deve trovare il nome sotto cui riceve gli aggiornamenti."
CPH2637,OPPO Reno12 F,"Nome europeo: lo stesso codice è venduto in India come OPPO F27 5G, e quel nome — più corto — vinceva la scelta automatica. In Europa il telefono riceve gli aggiornamenti come Reno12 F."
CPH2219,OPPO A74,"Nome europeo: lo stesso codice e' venduto in India/Nepal come OPPO F19 (PhoneDB e DeviceAtlas elencano CPH2219 come ""F19 / A74""; oppo.com/np vende l'F19, Wikipedia e GSMArena documentano l'A74). Segnalato dall'utente il 31/08/2026 con l'IMEI 866068054131131: il database TAC diceva gia' ""OPPO A74"" e la pagina mostrava ""Oppo F19"", perche' il catalogo GSMArena indicizza quel codice con il nome indiano."
