tac,marca,modello,nota
# Tabella TAC VERIFICATA A MANO, consultata PRIMA dei database scaricati.
#
# A cosa serve. I database TAC pubblici e gratuiti hanno buchi diversi fra
# loro e nessuno e' completo: capita che un IMEI perfettamente valido non
# venga riconosciuto da nessuno dei due, mentre un servizio commerciale lo
# identifica senza problemi. Quei servizi pero' bloccano l'accesso
# automatico e nei loro termini d'uso lo vietano.
#
# Consultarli A MANO e' invece del tutto lecito. Quindi: quando un IMEI non
# viene riconosciuto, l'app mostra il collegamento per verificarlo, e il
# risultato si scrive qui. Una riga, e quel telefono e' coperto per sempre
# — senza registrazioni, senza chiavi e senza limiti mensili.
#
# Ha la precedenza sui database scaricati proprio perche' e' verificata:
# se una riga qui contraddice il dato scaricato, vince questa.
#
# FORMATO: le prime 8 cifre dell'IMEI, la marca, il modello. La nota e'
# facoltativa ed e' il posto giusto per annotare dove hai verificato.
#
# ESEMPIO (togli il cancelletto e sostituisci con i tuoi dati):
# 35135531,Samsung,Galaxy A54 5G,verificato su imei.info il 07/08/2026

# TAC 86120607: le basi pubbliche lo associano anche a realme C60, ma la
# verifica sul dispositivo e i cataloghi regionali identificano realme Note 50.
# Questa voce curata e' intenzionalmente prioritaria: evita che una fonte
# community meno affidabile diventi il primo risultato.
86120607,realme,Note 50,verificato per mercato europeo

# TAC verificato: l'IMEI 351355315430630 corrisponde alla variante 4G europea.
35135531,Samsung,"Galaxy A16 4G, Samsung SM-A165F",verificato per mercato europeo

# TAC 35690922: riscontro Swappa TAC index e codice SM-A057F confermato da
# Samsung. L'IMEI ricevuto terminava con una cifra Luhn errata, ma il TAC
# resta il medesimo e identifica comunque il modello.
35690922,Samsung,"Galaxy A05s, Samsung SM-A057F",verificato su indice TAC e documentazione Samsung

# TAC segnalato: modello globale Redmi A7 Pro con codice 25128RN17Y.
86720708,Redmi,"Redmi A7 Pro, Xiaomi 25128RN17Y",verificato su documentazione Xiaomi e catalogo europeo

# TAC 86095807: nessuna delle basi dati scaricate lo conosce — verificato il
# 17/08/2026, il confronto fra le fonti tornava vuoto. Modello identificato
# dall'utente sul telefono che ha in mano.
86095807,ZTE,"Blade A75",identificato dall'utente sul dispositivo, assente da tutte le basi dati pubbliche

# TAC 35185179: stesso caso. I marchi minori sono il buco piu' grande dei
# database TAC alimentati dalla community, e Unihertz e' fra i piu' piccoli.
35185179,Unihertz,"Jelly 2E",identificato dall'utente sul dispositivo, assente da tutte le basi dati pubbliche

# TAC 35286149: assente da tutte le basi dati gratuite consultate
# dall'app — verificato il 26/08/2026 scaricando e cercando dentro
# tac_full.csv (MoazEb, 11,8 MB) e imeidb.csv (VTSTech), oltre al
# sottoinsieme curato del progetto. Identificato su imei.info, che ha una
# copertura piu' ampia e a pagamento, come Samsung A16; variante 4G
# confermata dall'utente. Stesso modello del TAC 35135531 qui sopra: e'
# normale, un modello ha molti TAC.
35286149,Samsung,"Galaxy A16 4G, Samsung SM-A165F",identificato su imei.info, assente dalle basi dati gratuite
